Type;Status;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name
Entrypoint;KEEP;ACL Voter;Node;profilesUidByProduct;;;;;;;;;;;;;;;;;;;;
Node;DELETE;adapterAdaptRecipe;Exitpoint;recipe-adapter-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;adapterCreateVariant;Exitpoint;recipe-adapter-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;adapterRevertRecipeAdaptation;Exitpoint;recipe-adapter-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;adaptRecipe;Node;adapterAdaptRecipe;;;;;;;;;;;;;;;;;;;;
Node;KEEP;adaptVariantRecipe;Node;adapterCreateVariant;;;;;;;;;;;;;;;;;;;;
Node;KEEP;anonymizeEaiAsynchronousProfiles;Node;datastoreEaiAnonymizeProfilesAsynchronous;Node;eaiProfileIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;anonymizeProfile;Node;datastoreAnonymizeProfileByProfileUid;Node;indexCreateSimple;;;;;;;;;;;;;;;;;;
Exitpoint;VALIDATE;Any Host;;;;;;;;;;;;;;;;;;;;;;
Exitpoint;DELETE;ApiPro Service;;;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproCreateRecipe;Node;apiproRoute;Node;apiproUpdateRecipeStatus;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproGetToken;Exitpoint;ApiPro Service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproReadMedia;Exitpoint;ApiPro Service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproRoute;Exitpoint;ApiPro Service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproSearchBySourceUri;Node;apiproRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproSynchronization;Exitpoint;ApiPro Service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproSynchronizeRecipe;Node;apiproCreateRecipe;Node;apiproUpdateRecipe;;;;;;;;;;;;;;;;;;
Node;DELETE;apiproUpdateRecipe;Node;apiproSearchBySourceUri;Node;apiproCreateRecipe;Node;apiproRoute;Node;apiproUpdateRecipeStatus;;;;;;;;;;;;;;
Node;DELETE;apiproUpdateRecipeStatus;Node;apiproRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;asynchDelete;Node;enrichDelete;;;;;;;;;;;;;;;;;;;;
Node;KEEP;autocompletion;Exitpoint;search-query-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;batchComments;Node;datastoreBatch;Node;indexAndMailComment;Node;datastoreBatch;Node;prepareIndexComment;;;;;;;;;;;;;;
Exitpoint;KEEP;Binerator service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;bineratorGeneratePackBinary;Node;processingGeneration;;;;;;;;;;;;;;;;;;;;
Node;KEEP;bineratorGenerateRecipeBinary;Node;processingGeneration;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;catchingGlobalProcess;Node;refreshDocument;Node;upgradeResourceMedia;Node;updateDocument;;;;;;;;;;;;;;;;
Node;KEEP;checkDuplication;Node;datastoreCheckDuplication;;;;;;;;;;;;;;;;;;;;
Node;KEEP;commonFindLibraryRoute;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;contextCreateContexts;Exitpoint;context-service;;;;;;;;;;;;;;;;;;;;
Exitpoint;DELETE;context-service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;copyContents;Node;datastoreCopyContents;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;copyRecipes;Node;datastoreBatch;Node;semantizeRecipe;Node;deleteSemantizedRecipeError;;;;;;;;;;;;;;;;
Node;FIX;create;Node;datastoreCreate;Node;apiproSynchronizeRecipe;Node;crudIndexation;Node;enrichRecipe;;;;;;;;;;;;;;
Node;DELETE;createContexts;Node;contextCreateContexts;;;;;;;;;;;;;;;;;;;;
Node;KEEP;createEvaluationAndGetAverage;Node;datastoreCrud;Node;datastoreGetRecipeCommunity;;;;;;;;;;;;;;;;;;
Node;KEEP;crud;Node;specificBeforeCRUDOperation;Node;datastoreCrud;Node;specificAfterCRUDOperation;;;;;;;;;;;;;;;;
Node;KEEP;crudHousehold;Node;crud;Node;profileIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;crudHouseholdMembers;Node;datastoreCrudHouseholdMembers;;;;;;;;;;;;;;;;;;;;
Node;KEEP;crudIndexation;Node;datastoreGetResourceInSearchVersion;Node;indexCreateSimple;;;;;;;;;;;;;;;;;;
Node;FIX;cuRecipe;Node;crud;Node;apiproSynchronizeRecipe;Node;semantizeRecipe;;;;;;;;;;;;;;;;
Exitpoint;KEEP;data-collect;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;dataCollectResource;Exitpoint;data-collect;;;;;;;;;;;;;;;;;;;;
Exitpoint;VALIDATE;data-refs-export-service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreAnonymizeProfileByProfileUid;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
